Name,small,large,circular,mini_hoop,total_rack,", NY, NY","Small, circular"
1 7 AV S,5,0,0,0,5,"1 7 AV S, NY, NY",
1 BOERUM PL,1,0,0,0,1,"1 BOERUM PL, NY, NY",
1 CENTRE ST,10,0,0,0,10,"1 CENTRE ST, NY, NY",
1 E 13 ST,1,0,0,0,1,"1 E 13 ST, NY, NY",
1 E 183 ST,0,0,2,0,2,"1 E 183 ST, NY, NY",
1 E 28 ST,1,0,0,0,1,"1 E 28 ST, NY, NY",
1 E 55 ST,0,0,1,0,1,"1 E 55 ST, NY, NY",
1 E 60 ST,1,0,0,0,1,"1 E 60 ST, NY, NY",
1 E 8 ST,2,0,0,0,2,"1 E 8 ST, NY, NY",
1 FLATBUSH AV,1,0,0,0,1,"1 FLATBUSH AV, NY, NY",
1 GRAHAM AV,1,0,0,0,1,"1 GRAHAM AV, NY, NY",
1 GREAT JONES ST,1,0,0,0,1,"1 GREAT JONES ST, NY, NY",
1 HILLEL PL,0,0,1,0,1,"1 HILLEL PL, NY, NY",
1 HOGAN PL,0,2,0,0,2,"1 HOGAN PL, NY, NY",
1 HOYT ST,0,0,3,0,3,"1 HOYT ST, NY, NY",
1 HUDSON ST,1,0,0,0,1,"1 HUDSON ST, NY, NY",
1 IRVING PL,0,1,0,0,1,"1 IRVING PL, NY, NY",
1 MAIN ST,1,2,0,0,3,"1 MAIN ST, NY, NY",
1 PARK AV,4,0,1,0,5,"1 PARK AV, NY, NY",
1 PROSPECT PK SW,0,0,4,0,4,"1 PROSPECT PK SW, NY, NY",
1 PROSPECT PK W,1,0,0,0,1,"1 PROSPECT PK W, NY, NY",
1 REMSEN AV,0,1,0,0,1,"1 REMSEN AV, NY, NY",
1 REMSEN ST,0,1,0,0,1,"1 REMSEN ST, NY, NY",
1 UNION SQ W,2,0,0,0,2,"1 UNION SQ W, NY, NY",
1 W 117 ST,0,3,0,0,3,"1 W 117 ST, NY, NY",
1 W 13 ST,1,0,0,0,1,"1 W 13 ST, NY, NY",
1 W 182 ST,0,0,1,0,1,"1 W 182 ST, NY, NY",
1 W 3 ST,1,0,0,0,1,"1 W 3 ST, NY, NY",
1 W 4 ST,1,0,0,0,1,"1 W 4 ST, NY, NY",
1 W 47 ST,2,0,0,0,2,"1 W 47 ST, NY, NY",
1 W 53 ST,1,0,0,0,1,"1 W 53 ST, NY, NY",
1 W 91 ST,0,1,0,0,1,"1 W 91 ST, NY, NY",
1 WASHINGTON PL,1,2,0,0,3,"1 WASHINGTON PL, NY, NY",
1 WHITEHALL ST,0,0,1,0,1,"1 WHITEHALL ST, NY, NY",
10 AV D,0,1,0,0,1,"10 AV D, NY, NY",
10 BAY ST LANDING,1,0,0,0,1,"10 BAY ST LANDING, NY, NY",
10 BEDFORD AV,1,0,0,0,1,"10 BEDFORD AV, NY, NY",
10 BOWERY,1,0,0,0,1,"10 BOWERY, NY, NY",
10 CHATHAM SQ,1,0,0,0,1,"10 CHATHAM SQ, NY, NY",
10 CORNELIA ST,0,0,2,0,2,"10 CORNELIA ST, NY, NY",
10 E 21 ST,2,0,0,0,2,"10 E 21 ST, NY, NY",
10 E 22 ST,5,0,0,0,5,"10 E 22 ST, NY, NY",
10 E 30 ST,1,0,0,0,1,"10 E 30 ST, NY, NY",
10 E 33 ST,1,0,0,0,1,"10 E 33 ST, NY, NY",
10 E 45 ST,1,0,0,0,1,"10 E 45 ST, NY, NY",
10 HOGAN PL,0,2,0,0,2,"10 HOGAN PL, NY, NY",
10 IRVING PL,0,1,2,0,3,"10 IRVING PL, NY, NY",
10 LENOX RD,0,0,1,0,1,"10 LENOX RD, NY, NY",
10 LINCOLN CENTER PLZ,0,0,1,0,1,"10 LINCOLN CENTER PLZ, NY, NY",
10 MONROE ST,1,0,0,0,1,"10 MONROE ST, NY, NY",
10 N 5 ST,0,0,2,0,2,"10 N 5 ST, NY, NY",
10 PLAZA ST E,1,1,1,0,3,"10 PLAZA ST E, NY, NY",
10 PORTER AV,0,0,1,0,1,"10 PORTER AV, NY, NY",
10 RUTGERS ST,1,0,1,0,2,"10 RUTGERS ST, NY, NY",
10 STANTON ST,1,0,0,0,1,"10 STANTON ST, NY, NY",
10 SUTTER AV,0,0,1,0,1,"10 SUTTER AV, NY, NY",
10 UNION SQ E,0,3,0,0,3,"10 UNION SQ E, NY, NY",
10 W 15 ST,0,0,2,0,2,"10 W 15 ST, NY, NY",
10 W 23 ST,0,0,1,0,1,"10 W 23 ST, NY, NY",
10 W 24 ST,1,0,0,0,1,"10 W 24 ST, NY, NY",
10 W BURNSIDE AV,0,0,1,0,1,"10 W BURNSIDE AV, NY, NY",
