Lat,Lon,Name,small,large,circular,mini_hoop,total_rack,", NY, NY"
40.74587,-73.98147,1 PARK AV,4,0,1,0,5,"1 PARK AV, NY, NY"
40.675747,-73.97104,10 PLAZA ST E,1,1,1,0,3,"10 PLAZA ST E, NY, NY"
40.71376,-73.990351,10 RUTGERS ST,1,0,1,0,2,"10 RUTGERS ST, NY, NY"
40.71329,-74.01013,100 CHURCH ST,2,0,5,0,7,"100 CHURCH ST, NY, NY"
40.7648,-73.9808,100 N 3 ST,2,0,1,0,3,"100 N 3 ST, NY, NY"
40.75135,-73.97894,100 PARK AV,1,0,1,0,2,"100 PARK AV, NY, NY"
40.74,-74,10011 NORTHERN BL,1,0,1,0,2,"10011 NORTHERN BL, NY, NY"
40.7498,-73.7976,10119 QUEENS BL,1,0,2,0,3,"10119 QUEENS BL, NY, NY"
40.716755,-73.963111,103 METROPOLITAN AV,1,0,1,0,2,"103 METROPOLITAN AV, NY, NY"
40.701955,-73.986863,104 JAY ST,2,0,2,0,4,"104 JAY ST, NY, NY"
40.7648,-73.9808,10619 71 AV,1,0,1,0,2,"10619 71 AV, NY, NY"
40.7648,-73.9808,10716 71 AV,1,0,1,0,2,"10716 71 AV, NY, NY"
40.701649,-73.986882,108 JAY ST,3,0,1,0,4,"108 JAY ST, NY, NY"
40.7648,-73.9808,10811 71 AV,1,0,3,0,4,"10811 71 AV, NY, NY"
40.76073,-73.97635,11 W 53 ST,1,7,8,0,16,"11 W 53 ST, NY, NY"
40.701511,-73.986306,110 YORK ST,2,0,1,0,3,"110 YORK ST, NY, NY"
40.701436,-73.986575,112 YORK ST,2,1,1,0,4,"112 YORK ST, NY, NY"
40.704558,-74.006184,120 WALL ST,4,0,2,0,6,"120 WALL ST, NY, NY"
40.745372,-73.984529,121 MADISON AV,1,0,1,0,2,"121 MADISON AV, NY, NY"
40.71987,-73.98705,124 RIVINGTON ST,1,0,1,0,2,"124 RIVINGTON ST, NY, NY"
40.675515,-73.941482,125 KINGSTON AV,1,0,1,0,2,"125 KINGSTON AV, NY, NY"
40.7648,-73.9808,125 N 10 ST,3,0,2,0,5,"125 N 10 ST, NY, NY"
40.747833,-73.988403,1259 BROADWAY,2,0,1,0,3,"1259 BROADWAY, NY, NY"
40.724482,-73.948325,130 NASSAU AV,1,0,1,0,2,"130 NASSAU AV, NY, NY"
40.721028,-73.940744,134 KINGSLAND AV,1,0,2,0,3,"134 KINGSLAND AV, NY, NY"
40.641229,-73.964728,1415 CORTELYOU RD,1,0,2,0,3,"1415 CORTELYOU RD, NY, NY"
40.76188,-73.98321,148 W 51 ST,1,0,1,0,2,"148 W 51 ST, NY, NY"
