ZIPCODE,PO_NAME,POPULATION,AREA_FT,AREA_MI,STATE,COUNTY,ST_FIPS,CTY_FIPS
10001,New York,22413.00,17794940.77,0.64,NY,New York,36,61
10002,New York,81305.00,26280128.54,0.94,NY,New York,36,61
10003,New York,55878.00,15538376.27,0.56,NY,New York,36,61
10004,New York,2187.00,13555552.34,0.49,NY,New York,36,61
10005,New York,8107.00,2082901.14,0.07,NY,New York,36,61
10006,New York,3011.00,1716640.92,0.06,NY,New York,36,61
10007,New York,7323.00,5327870.98,0.19,NY,New York,36,61
10009,New York,61455.00,15903519.30,0.57,NY,New York,36,61
10010,New York,29881.00,9768395.57,0.35,NY,New York,36,61
10011,New York,50594.00,18118416.85,0.65,NY,New York,36,61
10012,New York,24276.00,9193739.00,0.33,NY,New York,36,61
10013,New York,27985.00,15580578.83,0.56,NY,New York,36,61
10014,New York,31328.00,14151052.03,0.51,NY,New York,36,61
10016,New York,54606.00,15042403.04,0.54,NY,New York,36,61
10017,New York,15918.00,9794383.24,0.35,NY,New York,36,61
10018,New York,5503.00,10705796.48,0.38,NY,New York,36,61
10019,New York,41966.00,18828383.12,0.68,NY,New York,36,61
10020,New York,0.00,697297.02,0.03,NY,New York,36,61
10021,New York,45299.00,10495133.41,0.38,NY,New York,36,61
10022,New York,33135.00,12728335.62,0.46,NY,New York,36,61
10023,New York,62800.00,15212712.68,0.55,NY,New York,36,61
10024,New York,58521.00,22877335.46,0.82,NY,New York,36,61
10025,New York,96054.00,19631043.82,0.70,NY,New York,36,61
10026,New York,34313.00,11092681.49,0.40,NY,New York,36,61
10027,New York,58639.00,24695278.50,0.89,NY,New York,36,61
10028,New York,47530.00,9842046.48,0.35,NY,New York,36,61
10029,New York,77503.00,22963435.68,0.82,NY,New York,36,61
10030,New York,26720.00,7757661.45,0.28,NY,New York,36,61
10031,New York,57010.00,16902152.37,0.61,NY,New York,36,61
10032,New York,57606.00,23159566.09,0.83,NY,New York,36,61
10033,New York,54284.00,16156054.17,0.58,NY,New York,36,61
10034,New York,39149.00,24503892.12,0.88,NY,New York,36,61
10035,New York,34884.00,38940528.80,1.40,NY,New York,36,61
10036,New York,23543.00,11395110.51,0.41,NY,New York,36,61
10037,New York,16931.00,7188980.95,0.26,NY,New York,36,61
10038,New York,19127.00,7022760.64,0.25,NY,New York,36,61
10039,New York,24234.00,8419027.88,0.30,NY,New York,36,61
10040,New York,41033.00,16340742.80,0.59,NY,New York,36,61
10041,New York,0.00,162236.65,0.01,NY,New York,36,61
10043,New York,0.00,38262.36,0.00,NY,New York,36,61
10044,New York,11661.00,6296113.27,0.23,NY,New York,36,61
10045,New York,0.00,47808.99,0.00,NY,New York,36,61
10047,New York,0.00,20299.56,0.00,NY,New York,36,61
10048,New York,0.00,972788.42,0.03,NY,New York,36,61
10055,New York,12.00,37223.54,0.00,NY,New York,36,61
10065,New York,33459.00,11442579.55,0.41,NY,New York,36,61
10069,New York,5850.00,2372365.89,0.09,NY,New York,36,61
10075,New York,25203.00,4809654.28,0.17,NY,New York,36,61
10080,New York,0.00,77111.45,0.00,NY,New York,36,61
10081,New York,0.00,30240.51,0.00,NY,New York,36,61
10096,New York,0.00,42106.11,0.00,NY,New York,36,61
10097,New York,0.00,65826.18,0.00,NY,New York,36,61
10103,New York,0.00,62713.25,0.00,NY,New York,36,61
10104,New York,0.00,89721.85,0.00,NY,New York,36,61
10105,New York,0.00,35422.16,0.00,NY,New York,36,61
10106,New York,0.00,31052.55,0.00,NY,New York,36,61
10107,New York,0.00,23030.18,0.00,NY,New York,36,61
10110,New York,0.00,21249.06,0.00,NY,New York,36,61
10111,New York,0.00,103066.25,0.00,NY,New York,36,61
10112,New York,0.00,164078.17,0.01,NY,New York,36,61
10115,New York,0.00,71720.12,0.00,NY,New York,36,61
10118,New York,0.00,91733.72,0.00,NY,New York,36,61
10119,New York,0.00,126392.97,0.00,NY,New York,36,61
10120,New York,0.00,35179.27,0.00,NY,New York,36,61
10121,New York,0.00,115104.80,0.00,NY,New York,36,61
10122,New York,0.00,23294.64,0.00,NY,New York,36,61
10123,New York,0.00,16138.54,0.00,NY,New York,36,61
10128,New York,55748.00,11011681.56,0.39,NY,New York,36,61
10151,New York,0.00,21380.27,0.00,NY,New York,36,61
